"x","y"
4,1
3.86,2.04
3.84,2.96
3.94,3.76
4.16,4.44
4.5,5
4.96,5.44
5.54,5.76
6.24,5.96
7.06,6.04
8,6
9.06,5.84
10.24,5.56
11.54,5.16
12.96,4.64
14.5,4
16.16,3.24
17.94,2.36
19.84,1.36
21.86,0.239998
24,-1.00001
26.26,-2.36
28.64,-3.84
31.14,-5.44
33.76,-7.16
36.5,-8.99999
39.36,-10.96
42.34,-13.04
45.44,-15.24
48.66,-17.56
52,-20
55.46,-22.56
59.04,-25.24
62.74,-28.04
66.5599,-30.96
70.5,-34
74.5599,-37.16
78.74,-40.44
83.0399,-43.84
87.4599,-47.3599
91.9999,-51
96.6599,-54.7599
101.44,-58.6399
106.34,-62.6399
111.36,-66.7599
116.5,-70.9999
121.76,-75.3599
127.14,-79.8399
132.64,-84.4399
138.26,-89.1599
144,-93.9999
149.86,-98.9598
155.84,-104.04
161.94,-109.24
168.16,-114.56
174.5,-120
180.96,-125.56
187.54,-131.24
194.24,-137.04
201.06,-142.96
208,-149
215.06,-155.16
222.24,-161.44
229.54,-167.84
236.96,-174.36
244.5,-181
252.16,-187.76
259.94,-194.64
267.84,-201.64
275.86,-208.76
284,-216
292.26,-223.36
300.639,-230.84
309.14,-238.44
317.76,-246.16
326.499,-254
335.36,-261.96
344.339,-270.04
353.44,-278.24
362.66,-286.56
371.999,-295
381.46,-303.56
391.039,-312.24
400.74,-321.04
410.56,-329.96
420.5,-339
430.559,-348.16
440.74,-357.44
451.04,-366.84
461.46,-376.36
471.999,-386
482.66,-395.76
493.44,-405.64
504.34,-415.64
515.36,-425.76
526.5,-436
537.76,-446.36
549.141,-456.84
560.64,-467.44
572.26,-478.16
584,-489
595.86,-499.96
607.84,-511.04
619.94,-522.24
632.161,-533.561
644.501,-545
656.96,-556.56
669.541,-568.241
682.241,-580.041
695.06,-591.961
708.001,-604
721.061,-616.161
734.241,-628.441
747.541,-640.841
760.961,-653.36
774.501,-666.001
788.161,-678.761
801.941,-691.641
815.841,-704.641
829.861,-717.761
844.002,-731.002
858.262,-744.361
872.641,-757.841
887.142,-771.441
901.762,-785.162
916.501,-799.002
931.361,-812.961
946.342,-827.042
961.442,-841.243
976.663,-855.562
992.002,-870.001
1007.46,-884.562
1023.04,-899.243
1038.74,-914.042
1054.56,-928.962
1070.5,-944.002
1086.56,-959.163
1102.74,-974.443
1119.04,-989.842
1135.46,-1005.36
1152,-1021
1168.66,-1036.76
1185.44,-1052.64
1202.34,-1068.64
1219.36,-1084.76
1236.5,-1101
1253.76,-1117.36
1271.14,-1133.84
1288.64,-1150.44
1306.26,-1167.16
1324,-1184
1341.86,-1200.96
1359.84,-1218.04
1377.95,-1235.24
1396.16,-1252.56
1414.5,-1270
1432.96,-1287.57
1451.54,-1305.24
1470.24,-1323.04
1489.07,-1340.96
1508.01,-1359.01
1527.07,-1377.16
1546.24,-1395.44
1565.54,-1413.84
1584.97,-1432.37
1604.5,-1451
1624.17,-1469.76
1643.95,-1488.65
1663.84,-1507.65
1683.87,-1526.77
1704.01,-1546
1724.27,-1565.37
1744.65,-1584.85
1765.14,-1604.45
1785.77,-1624.17
1806.51,-1644.01
1827.37,-1663.97
1848.35,-1684.05
1869.45,-1704.25
1890.67,-1724.57
1912.01,-1745.01
1933.47,-1765.57
1955.05,-1786.25
1976.75,-1807.05
1998.57,-1827.97
2020.51,-1849.01
2042.57,-1870.17
2064.74,-1891.45
2087.05,-1912.85
2109.46,-1934.37
2132.01,-1956.01
2154.67,-1977.77
2177.45,-1999.65
2200.35,-2021.65
2223.37,-2043.77
2246.51,-2066.01
2269.77,-2088.37
2293.15,-2110.85
2316.65,-2133.45
2340.27,-2156.17
2364.01,-2179.01
2387.87,-2201.97
2411.85,-2225.05
2435.95,-2248.25
2460.17,-2271.57
2484.51,-2295.01
2508.97,-2318.57
2533.55,-2342.25
2558.25,-2366.05
2583.07,-2389.97
2608.01,-2414.01
2633.08,-2438.17
2658.25,-2462.45
2683.55,-2486.85
2708.98,-2511.37
2734.51,-2536.01
2760.17,-2560.77
2785.95,-2585.66
2811.85,-2610.65
2837.87,-2635.77
2864.01,-2661.01
2890.27,-2686.37
2916.66,-2711.85
2943.15,-2737.45
2969.77,-2763.17
2996.52,-2789.02
3023.38,-2814.97
3050.36,-2841.05
3077.45,-2867.26
3104.67,-2893.57
3132.02,-2920.01
3159.47,-2946.57
3187.05,-2973.26
3214.75,-3000.06
3242.57,-3026.97
3270.51,-3054.01
3298.57,-3081.18
3326.75,-3108.45
3355.06,-3135.85
3383.48,-3163.38
3412.01,-3191.02
3440.68,-3218.78
3469.45,-3246.65
3498.36,-3274.66
3527.38,-3302.78
3556.51,-3331.01
3585.78,-3359.37
3615.16,-3387.86
3644.65,-3416.46
3674.28,-3445.18
3704.02,-3474.01
3733.87,-3502.98
3763.85,-3532.06
3793.96,-3561.25
3824.18,-3590.58
3854.52,-3620.02
3884.97,-3649.58
3915.56,-3679.26
3946.27,-3709.06
3977.09,-3738.98
4008.01,-3769.02
4039.08,-3799.17
4070.27,-3829.45
4101.56,-3859.86
4132.98,-3890.38
4164.52,-3921.03
4196.19,-3951.78
4227.95,-3982.66
4259.86,-4013.66
4291.88,-4044.78
4324.02,-4076.02
4356.28,-4107.38
4388.66,-4138.87
4421.17,-4170.47
4453.79,-4202.18
4486.54,-4234.02
4519.38,-4265.99
4552.36,-4298.06
4585.47,-4330.26
4618.69,-4362.58
4652.02,-4395.03
4685.49,-4427.59
4719.07,-4460.26
4752.75,-4493.06
4786.58,-4525.99
4820.52,-4559.02
4854.59,-4592.18
4888.77,-4625.46
4923.06,-4658.87
4957.49,-4692.39
4992.03,-4726.02
5026.7,-4759.79
5061.46,-4793.67
5096.36,-4827.66
5131.39,-4861.78
5166.53,-4896.02
5201.78,-4930.39
5237.17,-4964.87
5272.67,-4999.46
5308.27,-5034.18
5344.02,-5069.03
5379.88,-5103.99
5415.87,-5139.06
5451.97,-5174.27
5488.18,-5209.6
5524.53,-5245.03
5561,-5280.58
5597.58,-5316.27
5634.27,-5352.07
5671.09,-5387.98
5708.04,-5424.02
5745.09,-5460.19
5782.27,-5496.48
5819.58,-5532.88
5857,-5569.39
5894.52,-5606.03
5932.18,-5642.79
5969.97,-5679.67
6007.88,-5716.67
6045.89,-5753.79
6084.01,-5791.03
6122.29,-5828.39
6160.69,-5865.87
6199.17,-5903.47
6237.77,-5941.19
6276.54,-5979.03
6315.41,-6016.99
6354.37,-6055.07
6393.45,-6093.27
6432.68,-6131.58
6472.04,-6170.03
6511.48,-6208.59
6551.05,-6247.27
6590.76,-6286.07
6630.6,-6324.98
6670.52,-6364.02
6710.56,-6403.19
6750.77,-6442.46
6791.08,-6481.86
6831.48,-6521.39
6872,-6561.02
6912.68,-6600.78
6953.48,-6640.66
6994.36,-6680.66
7035.36,-6720.78
7076.52,-6761.02
7117.79,-6801.38
7159.16,-6841.85
7200.64,-6882.46
7242.27,-6923.17
7284.04,-6964.01
7325.88,-7004.97
7367.83,-7046.06
7409.96,-7087.26
7452.19,-7128.57
7494.52,-7170.02
7536.96,-7211.57
7579.56,-7253.26
7622.27,-7295.05
7665.07,-7336.97
7708,-7379.02
7751.06,-7421.16
7794.27,-7463.45
7837.54,-7505.84
7880.95,-7548.37
7924.52,-7591.01
7968.18,-7633.76
8011.95,-7676.65
8055.81,-7719.65
8099.85,-7762.77
8144.02,-7806
8188.26,-7849.36
